host,ip,port,protocol,title,domain,country,city,link,as_organization
tr2.mamatune.top,172.67.187.227,80,http,Speedtest by Ookla - The Global Broadband Speed Test,mamatune.top,US,San Francisco,http://tr2.mamatune.top,CLOUDFLARENET
bpb.pp.ua,172.67.137.197,80,http,Speedtest by Ookla - The Global Broadband Speed Test,bpb.pp.ua,US,San Francisco,http://bpb.pp.ua,CLOUDFLARENET
tr3.mamatune.top,172.67.187.227,80,http,Speedtest by Ookla - The Global Broadband Speed Test,mamatune.top,US,San Francisco,http://tr3.mamatune.top,CLOUDFLARENET
babyboss.cfd,104.21.39.154,80,http,Speedtest by Ookla - The Global Broadband Speed Test,babyboss.cfd,US,San Francisco,http://babyboss.cfd,CLOUDFLARENET
pfr4.mamatune.top,172.67.187.227,80,http,Speedtest by Ookla - The Global Broadband Speed Test,mamatune.top,US,San Francisco,http://pfr4.mamatune.top,CLOUDFLARENET
hz1.mamatune.top,104.21.64.216,80,http,Speedtest by Ookla - The Global Broadband Speed Test,mamatune.top,US,San Francisco,http://hz1.mamatune.top,CLOUDFLARENET
hz3.mamatune.top,104.21.64.216,80,http,Speedtest by Ookla - The Global Broadband Speed Test,mamatune.top,US,San Francisco,http://hz3.mamatune.top,CLOUDFLARENET
fl4.mamatune.top,104.21.64.216,80,http,Speedtest by Ookla - The Global Broadband Speed Test,mamatune.top,US,San Francisco,http://fl4.mamatune.top,CLOUDFLARENET
4vp3.mamatune.top,104.21.64.216,80,http,Speedtest by Ookla - The Global Broadband Speed Test,mamatune.top,US,San Francisco,http://4vp3.mamatune.top,CLOUDFLARENET
pfr2.mamatune.top,172.67.187.227,80,http,Speedtest by Ookla - The Global Broadband Speed Test,mamatune.top,US,San Francisco,http://pfr2.mamatune.top,CLOUDFLARENET
hz2.mamatune.top,172.67.187.227,80,http,Speedtest by Ookla - The Global Broadband Speed Test,mamatune.top,US,San Francisco,http://hz2.mamatune.top,CLOUDFLARENET
n95.space,104.21.31.123,80,http,Speedtest by Ookla - The Global Broadband Speed Test,n95.space,US,San Francisco,http://n95.space,CLOUDFLARENET
bpb22.alyreza.onflashdrive.app,104.21.39.39,80,http,Speedtest by Ookla - The Global Broadband Speed Test,onflashdrive.app,US,San Francisco,http://bpb22.alyreza.onflashdrive.app,CLOUDFLARENET
bp.parseh.onflashdrive.app,172.66.44.129,80,http,Speedtest by Ookla - The Global Broadband Speed Test,onflashdrive.app,US,San Francisco,http://bp.parseh.onflashdrive.app,CLOUDFLARENET
new.niyavash.onflashdrive.app,104.21.35.143,80,http,Speedtest by Ookla - The Global Broadband Speed Test,onflashdrive.app,US,San Francisco,http://new.niyavash.onflashdrive.app,CLOUDFLARENET
patoq.onflashdrive.app,104.21.10.87,80,http,Speedtest by Ookla - The Global Broadband Speed Test,onflashdrive.app,US,San Francisco,http://patoq.onflashdrive.app,CLOUDFLARENET
sdfv.5tg2.rtgbwe.patoq.onflashdrive.app,172.67.162.191,80,http,Speedtest by Ookla - The Global Broadband Speed Test,onflashdrive.app,US,San Francisco,http://sdfv.5tg2.rtgbwe.patoq.onflashdrive.app,CLOUDFLARENET
mps2.mamatune.top,104.21.64.216,80,http,Speedtest by Ookla - The Global Broadband Speed Test,mamatune.top,US,San Francisco,http://mps2.mamatune.top,CLOUDFLARENET
4vp1.mamatune.top,104.21.64.216,80,http,Speedtest by Ookla - The Global Broadband Speed Test,mamatune.top,US,San Francisco,http://4vp1.mamatune.top,CLOUDFLARENET
pfr5.mamatune.top,104.21.64.216,80,http,Speedtest by Ookla - The Global Broadband Speed Test,mamatune.top,US,San Francisco,http://pfr5.mamatune.top,CLOUDFLARENET
pfr3.mamatune.top,104.21.64.216,80,http,Speedtest by Ookla - The Global Broadband Speed Test,mamatune.top,US,San Francisco,http://pfr3.mamatune.top,CLOUDFLARENET
ptr1.mamatune.top,104.21.64.216,80,http,Speedtest by Ookla - The Global Broadband Speed Test,mamatune.top,US,San Francisco,http://ptr1.mamatune.top,CLOUDFLARENET
ytnl1.mamatune.top,104.21.64.216,80,http,Speedtest by Ookla - The Global Broadband Speed Test,mamatune.top,US,San Francisco,http://ytnl1.mamatune.top,CLOUDFLARENET
abolfazl.eu.org,172.67.178.215,80,http,Speedtest by Ookla - The Global Broadband Speed Test,abolfazl.eu.org,US,San Francisco,http://abolfazl.eu.org,CLOUDFLARENET
app-state.amirardi.pw,172.67.210.198,80,http,Speedtest by Ookla - The Global Broadband Speed Test,amirardi.pw,US,San Francisco,http://app-state.amirardi.pw,CLOUDFLARENET
testingspeed.top,104.21.52.26,80,http,Speedtest by Ookla - The Global Broadband Speed Test,testingspeed.top,US,San Francisco,http://testingspeed.top,CLOUDFLARENET
test-cdn.hvps.ir,104.21.56.158,80,http,,hvps.ir,US,San Francisco,http://test-cdn.hvps.ir,CLOUDFLARENET
fn1.p-6.space,104.21.18.127,80,http,Speedtest by Ookla - The Global Broadband Speed Test,p-6.space,US,San Francisco,http://fn1.p-6.space,CLOUDFLARENET
app.shahreman.at,172.67.142.113,80,http,,shahreman.at,US,San Francisco,http://app.shahreman.at,CLOUDFLARENET
sx.onlysub.shop,104.21.51.223,80,http,Speedtest by Ookla - The Global Broadband Speed Test,onlysub.shop,US,San Francisco,http://sx.onlysub.shop,CLOUDFLARENET
cdncloud.cryptalin.tk,104.21.17.33,80,http,Speedtest by Ookla - The Global Broadband Speed Test,cryptalin.tk,US,San Francisco,http://cdncloud.cryptalin.tk,CLOUDFLARENET
